title,author
Espinosa Sem Saída,Luiz Alfredo Garcia-Roza
Eu Sei Por Que o Pássaro Canta na Gaiola,Maya Angelou
Felicidade e Outros Contos,Katherine Mansfield
Garota Exemplar,Gillian Flynn
Gomorra,Roberto Saviano
Heartstopper,Alice Oseman
Hibisco Roxo,Chimamanda Ngozi Adichie
História universal da infâmia,Jorge Luis Borges
HQ Sapiens,Yuval Noah Harari
Ideias para a luta,Marta Harnecker
Inferno,Dan Brown
Invasores del Norte,Isabel Cañas
Jornada Sob o véu,Shirley Palmer
Labirinto,Kate Mosse
Lugar de fala,Djamila Ribeiro
Luzia,Zé Wellington
Made in Korea,Jeremy Holt e George Schall
Maus,Art Spiegelman
Memórias de Minhas Putas Tristes,Gabriel García Márquez
Meus Dias na Livraria Morisaki,Satoshi Yagisawa
Mistério no Caribe,Agatha Christie
Mornas eram as noites,Dina Salústio
Morte na Mesopotâmia,Agatha Christie
Morte no Nilo,Agatha Christie
Mulheres de Cinzas,Mia Couto
Mulheres raça e classe,Angela Davis
Nada,Carmen Laforet
Ninguém Vira Adulto de Verdade,Sarah Andersen
No Seu Pescoço,Chimamanda Ngozi Adichie
Noite Sem Fim,Agatha Christie
O 4º assassino,Matt Rees
O Adversário Secreto,Agatha Christie
O Assassinato de Roger Ackroyd,Agatha Christie
O Caso do Hotel Bertram,Agatha Christie
O Código Da Vinci,Dan Brown
O Coração é um Caçador Solitário,Carson McCullers
O Deserto dos Tártaros,Dino Buzzati
O Diário de Anne Frank,Anne Frank
O Diário de Myriam,Myriam Rawick
O Estrangeiro,Albert Camus
O Guia do Mochileiro das Galáxias,Douglas Adams
O Homem do Terno Marrom,Agatha Christie
O Misterioso Caso de Styles,Agatha Christie
O mundo codificado,Vilém Flusser
O Natal de Poirot,Agatha Christie
O Olho Mais Azul,Toni Morrison
O Pequeno Príncipe,Antoine de Saint-Exupéry
O Poço da Solidão (The Well of Loneliness),Radclyffe Hall
O Processo,Franz Kafka
O Quebra-Nozes,E. T. A. Hoffmann
O Reverso da Medalha,Sidney Sheldon
O Sentido de um Fim,Julian Barnes
O Símbolo Perdido,Dan Brown
Oração para Desaparecer,Socorro Acioli
Os Cinco Porquinhos,Agatha Christie
Os Elefantes não Esquecem,Agatha Christie
Os Relógios,Agatha Christie
Outros Jeitos de Usar a Boca,Rupi Kaur
Persépolis,Marjane Satrapi
Primavera num Espelho Partido,Mario Benedetti
Quarto de Despejo,Carolina Maria de Jesus
Quem tem medo do feminismo negro,Djamila Ribeiro
Ragtime,E. L. Doctorow
Rastros de Resistência,Ale Santos
Relentless,Dean Koontz
Seguindo a Correnteza,Agatha Christie
Sociedade do Cansaço,Byung-Chul Han
Sonho de uma Noite de Verão,William Shakespeare
Tempo de Migrar para o Norte,Tayeb Salih
The hundred wells of salaga,Ayesha Harruna Attah
The tea dragon,Katie O'Neal
The Underground Railroad,Colson Whitehead
Todo mundo tem uma primeira vez,"Alê Santos, Bárbara Morais, Jim Anotsu, Olívia Pilar, Vitor Martins e Fernanda Nia"
Tragédia em Três Atos,Agatha Christie
Três Ratos Cegos e Outros Contos,Agatha Christie
Treze à Mesa,Agatha Christie
Trilogia Millennium,Stieg Larsson
Um Brinde de Cianureto,Agatha Christie
Um Corpo na Biblioteca,Agatha Christie
Uma breve história do feminismo no contexto euro-americano,Patu e Antje Schrupp
Uma Família Feliz,Raphael Montes
Voragem,Junichiro Tanizaki
Budapeste,Chico Buarque
