title,author,isbn,genre,publication_year,date_acquired,read_status,rating,format,pages
Ideias para a luta,Marta Harnecker,9785064317139,Fiction,1956,2020-04-05,read,,physical,332
Inferno,Dan Brown,9783352904228,Mystery,1972,2016-11-28,unread,,physical,363
Invasores del Norte,Isabel Cañas,9789502402681,Young Adult,1958,not a date,read,5,physical,582
Jornada Sob o véu,Shirley Palmer,9783908470076,Biography,1963,2022-12-15,unread,,physical,271
Labirinto,Kate Mosse,9781249985698,Mystery,2008,2023-10-14,read,7,ebook,340
Lugar de fala,Djamila Ribeiro,9786736576615,Biography,1990,2025-05-12,read,1,physical,605
Luzia,Zé Wellington,9781116152809,History,2021,2020-11-04,read,1,ebook,553
Made in Korea,Jeremy Holt e George Schall,9784945198327,Science Fiction,1963,2020-09-12,unread,,physical,351
Maus,Art Spiegelman,9786899809402,Mystery,1989,2020-06-01,reading,,physical,530
Memórias de Minhas Putas Tristes,Gabriel García Márquez,9781201836675,Fantasy,1997,2019-12-11,read,1,physical,206
Meus Dias na Livraria Morisaki,Satoshi Yagisawa,9788017046226,Self-help,2003,2019-04-25,read,3,physical,233
Mistério no Caribe,Agatha Christie,9789784036900,Science Fiction,1988,2018-03-25,read,4,physical,127
Mornas eram as noites,Dina Salústio,9786226838851,Biography,1955,2021-01-15,read,5,ebook,559
Morte na Mesopotâmia,Agatha Christie,9786641605297,Poetry,1996,2016-07-28,unread,1,physical,530
Morte no Nilo,Agatha Christie,9788164535218,Classic,1964,2023-09-07,read,2,physical,271
Mulheres de Cinzas,Mia Couto,9781243292127,Self-help,2022,2024-08-22,read,3,physical,450
Mulheres raça e classe,Angela Davis,9782717744905,History,1959,2019-08-15,unread,,physical,413
Nada,Carmen Laforet,9781199867980,Self-help,2023,2025-04-11,read,4,physical,183
Ninguém Vira Adulto de Verdade,Sarah Andersen,9781518203778,History,1970,2020-06-10,read,3,ebook,173
No Seu Pescoço,Chimamanda Ngozi Adichie,9781518644925,Non-fiction,2024,2025-03-12,read,,physical,521
Noite Sem Fim,Agatha Christie,9789148652816,History,1996,2015-06-10,reading,,physical,617
O 4º assassino,Matt Rees,9783322141888,Fiction,1993,2024-03-20,read,4,physical,289
O Adversário Secreto,Agatha Christie,9780653794738,Science Fiction,1989,2022-04-12,read,4,physical,571
O Assassinato de Roger Ackroyd,Agatha Christie,9784688623924,Fiction,2011,2020-09-04,read,3,physical,247
O Caso do Hotel Bertram,Agatha Christie,9781247826137,Romance,1953,not a date,read,3,physical,203
O Código Da Vinci,Dan Brown,9783051522047,Young Adult,1967,2026-08-15,read,3,audiobook,139
O Coração é um Caçador Solitário,Carson McCullers,9783289861434,Non-fiction,1956,2018-07-21,read,4,physical,233
O Deserto dos Tártaros,Dino Buzzati,9789808932460,Thriller,1995,2018-10-14,reading,,physical,489
O Diário de Anne Frank,Anne Frank,9781888880670,Classic,1999,2020-05-24,unread,,ebook,473
O Diário de Myriam,Myriam Rawick,9783195205852,Poetry,2009,2026-08-21,reading,,physical,588
O Estrangeiro,Albert Camus,9780430305486,Poetry,2019,2022-05-02,read,1,physical,485
O Guia do Mochileiro das Galáxias,Douglas Adams,9785415667652,Self-help,2013,2020-09-09,read,,ebook,200
O Homem do Terno Marrom,Agatha Christie,9789284511544,Self-help,2004,2017-12-15,read,5,physical,481
O Misterioso Caso de Styles,Agatha Christie,9786401658202,Poetry,2006,2015-03-03,reading,,physical,490
O mundo codificado,Vilém Flusser,9786909275571,Thriller,1967,2023-06-13,read,1,physical,236
O Natal de Poirot,Agatha Christie,9782786814473,Thriller,1986,2026-08-07,unread,,ebook,582
O Olho Mais Azul,Toni Morrison,9782715518844,Poetry,1970,2026-12-23,read,2,ebook,640
O Pequeno Príncipe,Antoine de Saint-Exupéry,9781323705895,Self-help,2020,2017-10-03,unread,,audiobok,610
O Poço da Solidão (The Well of Loneliness),Radclyffe Hall,9788669125177,Classic,2016,2020-03-27,read,2,physical,306
O Processo,Franz Kafka,,Young Adult,1978,2020-09-10,read,2,physical,401
O Quebra-Nozes,E. T. A. Hoffmann,9784981829922,Classic,1993,2024-01-27,read,2,physical,391
O Reverso da Medalha,Sidney Sheldon,9789690784473,Graphic Novel,2001,2019-08-03,read,4,physical,545
O Sentido de um Fim,Julian Barnes,9787359255562,Graphic Novel,1997,2023-09-04,read,4,physical,393
O Símbolo Perdido,Dan Brown,9783210469632,Poetry,1991,2024-12-11,reading,,physical,647
Oração para Desaparecer,Socorro Acioli,9787747016873,Science Fiction,2024,2020-01-02,read,3,physical,601
Os Cinco Porquinhos,Agatha Christie,9788016245650,Biography,1956,2024-09-07,read,5,physical,515
Os Elefantes não Esquecem,Agatha Christie,9787849912165,Graphic Novel,1993,2023-06-25,unread,1,physical,531
Os Relógios,Agatha Christie,9788000257872,Thriller,2015,2017-06-20,read,5,physical,426
Outros Jeitos de Usar a Boca,Rupi Kaur,9785888794705,Romance,1964,2021-10-10,read,5,ebook,147
Persépolis,Marjane Satrapi,9787499309728,Classic,1998,2017-11-08,unread,,audiobook,232
Primavera num Espelho Partido,Mario Benedetti,9783075626368,Graphic Novel,2010,2026-12-02,read,4,physical,452
Quarto de Despejo,Carolina Maria de Jesus,9788652785854,Thriller,2011,2018-04-09,finished,3,physical,424
Quem tem medo do feminismo negro,Djamila Ribeiro,12345,Classic,2019,2021-07-27,read,3,ebook,269
Ragtime,E. L. Doctorow,9780415747338,Mystery,2021,2026-05-05,unread,,ebook,365
Rastros de Resistência,Ale Santos,9783083301657,Non-fiction,1967,2015-09-06,read,4,audiobook,607
Relentless,Dean Koontz,9783454019380,Fantasy,2003,2017-01-27,read,1,physical,416
Seguindo a Correnteza,Agatha Christie,9780499154788,Self-help,1967,2023-08-09,reading,,physical,286
Sociedade do Cansaço,Byung-Chul Han,9787420549329,Poetry,2001,2021-09-11,unread,,physical,0
Sonho de uma Noite de Verão,William Shakespeare,9782753046374,Romance,1988,2024-12-19,unread,,physical,-12
Tempo de Migrar para o Norte,Tayeb Salih,9780174268414,Romance,1978,2018-03-16,reading,,ebook,502
The hundred wells of salaga,Ayesha Harruna Attah,9786878339187,History,1996,2016-10-04,unread,,physical,637
The tea dragon,Katie O'Neal,9783982258713,Young Adult,2024,2022-02-17,read,5,physical,255
The Underground Railroad,Colson Whitehead,9786790874064,Poetry,1950,2026-04-19,unread,,physical,185
Todo mundo tem uma primeira vez,"Alê Santos, Bárbara Morais, Jim Anotsu, Olívia Pilar, Vitor Martins e Fernanda Nia",9788017046226,Romance,1998,2022-07-13,unread,,audiobook,256
Tragédia em Três Atos,Agatha Christie,9785128682300,Mystery,2009,2025-12-18,read,2,physical,355
Três Ratos Cegos e Outros Contos,Agatha Christie,9787524310690,Science Fiction,1976,2016-02-20,unread,,physical,169
Treze à Mesa,Agatha Christie,9783067383028,Mystery,1979,2026-10-11,read,,ebook,448
Trilogia Millennium,Stieg Larsson,9784283644089,Young Adult,1972,2025-11-14,read,4,physical,472
Um Brinde de Cianureto,Agatha Christie,9788566246287,Science Fiction,1978,not a date,read,4,audiobook,542
Um Corpo na Biblioteca,Agatha Christie,9788826343517,Poetry,1997,2016-09-24,read,8,physical,506
Uma breve história do feminismo no contexto euro-americano,Patu e Antje Schrupp,97812345678AB,Mystery,1951,2018-04-24,unread,,audiobook,610
Uma Família Feliz,Raphael Montes,9783936385467,History,1995,2019-05-12,read,4,physical,220
Voragem,Junichiro Tanizaki,9785355609320,Mystery,2020,2024-10-24,read,2,physical,457
Budapeste,Chico Buarque,9786937854777,Fantasy,1995,2017-03-24,read,5,physical,180
